from_dbid,relation,to_dbid
DB01050,INTERACT,DB11901
DB01050,INTERACT,DB09280
DB01050,INTERACT,DB11753
DB01050,INTERACT,DB00648
DB01050,INTERACT,DB01323
DB01050,INTERACT,DB11201
DB01050,INTERACT,DB11323
DB01050,INTERACT,DB14960
DB01050,INTERACT,DB00381
DB01050,INTERACT,DB01275
DB01050,INTERACT,DB14507
DB01050,INTERACT,DB14509
DB01050,INTERACT,DB14506
DB01050,INTERACT,DB00642
DB01050,INTERACT,DB06813
DB01050,INTERACT,DB01032
DB01050,INTERACT,DB00512
DB01050,INTERACT,DB00139
DB01050,INTERACT,DB00155
DB01050,INTERACT,DB00345
DB01050,INTERACT,DB00501
DB01050,INTERACT,DB00535
DB01050,INTERACT,DB00650
DB01050,INTERACT,DB00693
DB01050,INTERACT,DB00770
DB01050,INTERACT,DB00917
DB01050,INTERACT,DB01053
DB01050,INTERACT,DB01098
DB01050,INTERACT,DB01606
DB01050,INTERACT,DB02527
DB01050,INTERACT,DB02659
DB01050,INTERACT,DB03553
DB01050,INTERACT,DB03902
DB01050,INTERACT,DB08846
DB01050,INTERACT,DB09060
DB01050,INTERACT,DB12243
DB01050,INTERACT,DB12377
DB01050,INTERACT,DB00229
DB01050,INTERACT,DB00567
DB01050,INTERACT,DB00577
DB01050,INTERACT,DB00787
DB01050,INTERACT,DB00833
DB01050,INTERACT,DB00198
DB01050,INTERACT,DB00319
DB01050,INTERACT,DB00432
DB01050,INTERACT,DB00437
DB01050,INTERACT,DB00583
DB01050,INTERACT,DB01415
DB01050,INTERACT,DB06211
DB01050,INTERACT,DB06335
DB01050,INTERACT,DB01327
DB01050,INTERACT,DB01332
DB01050,INTERACT,DB01414
DB01050,INTERACT,DB09008
DB01050,INTERACT,DB09272
DB01050,INTERACT,DB00175
DB01050,INTERACT,DB00286
DB01050,INTERACT,DB00759
DB01050,INTERACT,DB00783
DB01050,INTERACT,DB00863
DB01050,INTERACT,DB00950
DB01050,INTERACT,DB01261
DB01050,INTERACT,DB04348
DB01050,INTERACT,DB11817
DB01050,INTERACT,DB00595
DB01050,INTERACT,DB00659
DB01050,INTERACT,DB00619
